p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	cluster_names
0	0.678390738596959	0.749	0.589	0	0	MEF2C	Naive 2
0	0.530388809598243	0.98	0.926	0	0	BTG1	Naive 2
0	0.512668912712584	0.998	0.983	0	0	TMSB10	Naive 2
0	0.463631133151577	0.793	0.568	0	0	IGHD	Naive 2
0	0.457319967123718	0.966	0.848	0	0	CD52	Naive 2
0	0.456441976276855	1	0.996	0	0	RPS12	Naive 2
0	0.38643701689355	1	0.995	0	0	RPL12	Naive 2
0	0.358927633561675	0.997	0.978	0	0	RPSA	Naive 2
0	0.350786678171197	1	0.999	0	0	RPL13A	Naive 2
0	0.348634828999385	1	0.999	0	0	RPL13	Naive 2
0	0.348292274506282	1	0.999	0	0	RPL34	Naive 2
0	0.345244639173151	1	0.999	0	0	RPS19	Naive 2
0	0.34128560603671	1	0.998	0	0	RPL18A	Naive 2
0	0.336591582070157	0.991	0.964	0	0	MT-ND3	Naive 2
0	0.334537702040415	1	0.999	0	0	EEF1A1	Naive 2
0	0.323497476443285	0.999	0.995	0	0	RPL31	Naive 2
0	0.322687618811019	0.999	0.992	0	0	RPS5	Naive 2
0	0.318340795978724	1	0.997	0	0	RPL3	Naive 2
0	0.317095820018712	1	0.998	0	0	RPL39	Naive 2
0	0.316438328131834	1	0.999	0	0	RPLP1	Naive 2
0	0.314628817101718	1	0.997	0	0	RPS3A	Naive 2
0	0.313827803406306	1	0.998	0	0	RPL32	Naive 2
0	0.306401766555309	1	0.997	0	0	RPL11	Naive 2
0	0.304122219997052	1	0.998	0	0	RPS29	Naive 2
0	-0.702271708611225	0.2	0.433	0	0	YWHAE	Naive 2
0	-0.77166769747628	0.019	0.175	0	0	BIK	Naive 2
0	-0.878454810393786	0.234	0.444	0	0	TXN	Naive 2
0	-0.920744890330294	0.12	0.341	0	0	CD27	Naive 2
0	-0.924659823757891	0.11	0.338	0	0	NME1	Naive 2
0	-1.06626849671682	0.401	0.64	0	0	PRDX1	Naive 2
0	-1.46019588978664	0.031	0.242	0	0	RGS13	Naive 2
